j,# Timestamp,Type of mobile,MMSI,Latitude,Longitude,Navigational status,ROT,SOG,COG,Heading,IMO,Callsign,Name,Ship type,Cargo type,Width,Length,Type of position fixing device,Draught,Destination,ETA,Data source type,A,B,C,D
2521676,01/09/2022 05:39:03,Class A,230352000,57.777862,10.397715,Under way using engine,0.0,13.5,67.1,67.0,9126247,OJHJ,MARJATTA,Cargo,,18.0,120.0,GPS,7.0,FITOR,04/09/2022 05:00:00,AIS,108.0,12.0,10.0,8.0
2522941,01/09/2022 05:39:13,Class A,230352000,57.778082999999995,10.398686999999999,Under way using engine,0.0,13.5,67.0,67.0,9126247,OJHJ,MARJATTA,Cargo,,18.0,120.0,GPS,7.0,FITOR,04/09/2022 05:00:00,AIS,108.0,12.0,10.0,8.0
2524254,01/09/2022 05:39:23,Class A,230352000,57.77835,10.399877,Under way using engine,0.0,13.5,66.8,67.0,9126247,OJHJ,MARJATTA,Cargo,,18.0,120.0,GPS,7.0,FITOR,04/09/2022 05:00:00,AIS,108.0,12.0,10.0,8.0
2525588,01/09/2022 05:39:33,Class A,230352000,57.77859,10.400955,Under way using engine,0.0,13.5,67.1,67.0,9126247,OJHJ,MARJATTA,Cargo,,18.0,120.0,GPS,7.0,FITOR,04/09/2022 05:00:00,AIS,108.0,12.0,10.0,8.0
2526828,01/09/2022 05:39:43,Class A,230352000,57.778812,10.401925,Under way using engine,0.0,13.5,67.2,67.0,9126247,OJHJ,MARJATTA,Cargo,,18.0,120.0,GPS,7.0,FITOR,04/09/2022 05:00:00,AIS,108.0,12.0,10.0,8.0
2528234,01/09/2022 05:39:53,Class A,230352000,57.779081999999995,10.403108,Under way using engine,0.0,13.5,66.9,67.0,9126247,OJHJ,MARJATTA,Cargo,,18.0,120.0,GPS,7.0,FITOR,04/09/2022 05:00:00,AIS,108.0,12.0,10.0,8.0
2529537,01/09/2022 05:40:03,Class A,230352000,57.77933,10.404185,Under way using engine,0.0,13.5,66.7,67.0,9126247,OJHJ,MARJATTA,Cargo,,18.0,120.0,GPS,7.0,FITOR,04/09/2022 05:00:00,AIS,108.0,12.0,10.0,8.0
2530790,01/09/2022 05:40:13,Class A,230352000,57.779555,10.405152000000001,Under way using engine,0.0,13.5,66.7,67.0,9126247,OJHJ,MARJATTA,Cargo,,18.0,120.0,GPS,7.0,FITOR,04/09/2022 05:00:00,AIS,108.0,12.0,10.0,8.0
2532076,01/09/2022 05:40:23,Class A,230352000,57.779830000000004,10.406332,Under way using engine,0.0,13.5,66.3,67.0,9126247,OJHJ,MARJATTA,Cargo,,18.0,120.0,GPS,7.0,FITOR,04/09/2022 05:00:00,AIS,108.0,12.0,10.0,8.0
2533364,01/09/2022 05:40:33,Class A,230352000,57.780075,10.407408,Under way using engine,0.0,13.5,66.4,67.0,9126247,OJHJ,MARJATTA,Cargo,,18.0,120.0,GPS,7.0,FITOR,04/09/2022 05:00:00,AIS,108.0,12.0,10.0,8.0
2534586,01/09/2022 05:40:43,Class A,230352000,57.7803,10.408377,Under way using engine,0.0,13.5,66.7,67.0,9126247,OJHJ,MARJATTA,Cargo,,18.0,120.0,GPS,7.0,FITOR,04/09/2022 05:00:00,AIS,108.0,12.0,10.0,8.0
2535980,01/09/2022 05:40:53,Class A,230352000,57.78057,10.409562,Under way using engine,0.0,13.5,66.4,67.0,9126247,OJHJ,MARJATTA,Cargo,,18.0,120.0,GPS,7.0,FITOR,04/09/2022 05:00:00,AIS,108.0,12.0,10.0,8.0
2537253,01/09/2022 05:41:03,Class A,230352000,57.780815000000004,10.410638,Under way using engine,0.0,13.5,67.1,67.0,9126247,OJHJ,MARJATTA,Cargo,,18.0,120.0,GPS,7.0,FITOR,04/09/2022 05:00:00,AIS,108.0,12.0,10.0,8.0
2538468,01/09/2022 05:41:13,Class A,230352000,57.781040000000004,10.411605,Under way using engine,0.0,13.5,66.9,67.0,9126247,OJHJ,MARJATTA,Cargo,,18.0,120.0,GPS,7.0,FITOR,04/09/2022 05:00:00,AIS,108.0,12.0,10.0,8.0
