lat, long
55.199211, 13.708795
55.199253, 13.708212
55.207970, 13.572943
55.208015, 13.572247
55.213089, 13.490317
55.213131, 13.489615
55.213577, 13.482603
55.213612, 13.482018
55.217819, 13.413272
55.217896, 13.411987
55.218201, 13.407093
55.218250, 13.406278
55.218555, 13.401387
55.218639, 13.399992
55.218681, 13.399292
55.218987, 13.394407
55.219418, 13.387432
55.219505, 13.386037
55.219978, 13.378370
55.221451, 13.355510
55.221546, 13.354002
55.221928, 13.347858
55.222061, 13.345653
55.222374, 13.340897
55.224403, 13.310058
55.224491, 13.308660
55.224892, 13.302368
55.225201, 13.297588
55.225899, 13.286973
55.225948, 13.286273
55.226128, 13.283590
55.226505, 13.277868
55.226589, 13.276583
55.228233, 13.251987
55.228516, 13.247800
55.229317, 13.235942
55.230091, 13.224100
55.230324, 13.220740
55.231739, 13.199098
55.232109, 13.193665
55.232563, 13.183805
55.232811, 13.178238
55.233200, 13.169888
55.233883, 13.154725
55.234798, 13.134002
55.235043, 13.128378
55.235096, 13.127117
55.235630, 13.114735
55.235687, 13.113358
55.235928, 13.107847
55.235985, 13.106468
55.236225, 13.100950
55.236702, 13.089903
55.236732, 13.089215
55.237041, 13.082307
55.237072, 13.081617
55.237350, 13.075398
55.237381, 13.074707
55.238243, 13.055290
55.238270, 13.054593
55.243671, 12.957858
55.243729, 12.957050
55.382290, 12.647145
55.382797, 12.647283
57.802696, 10.602172
57.802696, 10.601237
57.068398, 8.271540
57.068066, 8.271148
